timestamp,month,day,cakeName,cakeWord,description,note
,1,12,ババ・オ・ラム,知的な探求心,"小さな変化にも気づけるあなた。
素材の個性を丁寧に重ねたババ・オ・ラムは、知的な探求心をそっと思い出させてくれる一品です！",
,1,13,デーツセモリナケーキ,誠実なまなざし,"自分のペースを大切にするあなた。
小さな驚きを忍ばせたデーツセモリナケーキは、誠実なまなざしをそっと思い出させてくれる一品です！",
,1,14,サヴァラン,柔らかな包容力,"周りに安心感を届けるあなた。
素材の個性を丁寧に重ねたサヴァランは、柔らかな包容力をそっと思い出させてくれる一品です！",
,1,15,ココナッツドロップケーキ,頼れる安定感,"一歩ずつ形にしていくあなた。
素朴さの中に奥行きがあるココナッツドロップケーキは、頼れる安定感をそっと思い出させてくれる一品です！",
,1,16,ポン・ヌフ,秘めた情熱,"静かな強さを持つあなた。
素材の個性を丁寧に重ねたポン・ヌフは、秘めた情熱をそっと思い出させてくれる一品です！",
,1,17,カルダモンミルクタルト,隠れた遊び心,"まっすぐな思いを抱くあなた。
香りと食感の変化が楽しいカルダモンミルクタルトは、隠れた遊び心をそっと思い出させてくれる一品です！",
,1,18,ピュイ・ダムール,芯の強さ,"小さな変化にも気づけるあなた。
素材の個性を丁寧に重ねたピュイ・ダムールは、芯の強さをそっと思い出させてくれる一品です！",
,1,19,ミルクティープラムケーキ,しなやかな変化,"自分のペースを大切にするあなた。
素材の個性を丁寧に重ねたミルクティープラムケーキは、しなやかな変化をそっと思い出させてくれる一品です！",
,1,20,コンベルサシオン,深い共感力,"周りに安心感を届けるあなた。
素材の個性を丁寧に重ねたコンベルサシオンは、深い共感力をそっと思い出させてくれる一品です！",
,1,21,ブルーベリーサブレケーキ,知的な探求心,"一歩ずつ形にしていくあなた。
素材の個性を丁寧に重ねたブルーベリーサブレケーキは、知的な探求心をそっと思い出させてくれる一品です！",
,1,22,パリジャンフラン,誠実なまなざし,"静かな強さを持つあなた。
素材の個性を丁寧に重ねたパリジャンフランは、誠実なまなざしをそっと思い出させてくれる一品です！",
,1,23,カシューナッツトルテ,柔らかな包容力,"まっすぐな思いを抱くあなた。
香りと食感の変化が楽しいカシューナッツトルテは、柔らかな包容力をそっと思い出させてくれる一品です！",
,1,24,ガトー・ナンテ,頼れる安定感,"小さな変化にも気づけるあなた。
素材の個性を丁寧に重ねたガトー・ナンテは、頼れる安定感をそっと思い出させてくれる一品です！",
,1,25,ミルクタルト,秘めた情熱,"自分のペースを大切にするあなた。
小さな驚きを忍ばせたミルクタルトは、秘めた情熱をそっと思い出させてくれる一品です！",
,1,26,ガトー・ブルトン,隠れた遊び心,"周りに安心感を届けるあなた。
素材の個性を丁寧に重ねたガトー・ブルトンは、隠れた遊び心をそっと思い出させてくれる一品です！",
,1,27,ココナッツピーチシャルロット,芯の強さ,"一歩ずつ形にしていくあなた。
素材の個性を丁寧に重ねたココナッツピーチシャルロットは、芯の強さをそっと思い出させてくれる一品です！",
,1,28,ガトー・オ・ノワ,しなやかな変化,"静かな強さを持つあなた。
素材の個性を丁寧に重ねたガトー・オ・ノワは、しなやかな変化をそっと思い出させてくれる一品です！",
,1,29,マンゴーココナッツタルト,深い共感力,"まっすぐな思いを抱くあなた。
香りと食感の変化が楽しいマンゴーココナッツタルトは、深い共感力をそっと思い出させてくれる一品です！",
,1,30,ガトー・マルブレ,知的な探求心,"小さな変化にも気づけるあなた。
素材の個性を丁寧に重ねたガトー・マルブレは、知的な探求心をそっと思い出させてくれる一品です！",
,1,31,ミルクティーチョコスフレ,誠実なまなざし,"自分のペースを大切にするあなた。
素材の個性を丁寧に重ねたミルクティーチョコスフレは、誠実なまなざしをそっと思い出させてくれる一品です！",
,2,1,ガトー・インビジブル,秘めた情熱,"まっすぐな思いを抱くあなた。
素材の個性を丁寧に重ねたガトー・インビジブルは、秘めた情熱をそっと思い出させてくれる一品です！",
,2,2,マームールケーキ,隠れた遊び心,"小さな変化にも気づけるあなた。
小さな驚きを忍ばせたマームールケーキは、隠れた遊び心をそっと思い出させてくれる一品です！",
,2,3,ガトー・モカ,芯の強さ,"自分のペースを大切にするあなた。
素材の個性を丁寧に重ねたガトー・モカは、芯の強さをそっと思い出させてくれる一品です！",
,2,4,ピスタチオローズケーキ,しなやかな変化,"周りに安心感を届けるあなた。
素朴さの中に奥行きがあるピスタチオローズケーキは、しなやかな変化をそっと思い出させてくれる一品です！",
,2,5,カンノーロケーキ,深い共感力,"一歩ずつ形にしていくあなた。
素材の個性を丁寧に重ねたカンノーロケーキは、深い共感力をそっと思い出させてくれる一品です！",
,2,6,マルヴァプディングケーキ,知的な探求心,"静かな強さを持つあなた。
香りと食感の変化が楽しいマルヴァプディングケーキは、知的な探求心をそっと思い出させてくれる一品です！",
,2,7,ビスコッティチーズケーキ,誠実なまなざし,"まっすぐな思いを抱くあなた。
素材の個性を丁寧に重ねたビスコッティチーズケーキは、誠実なまなざしをそっと思い出させてくれる一品です！",
,2,8,アマルーラケーキ,柔らかな包容力,"小さな変化にも気づけるあなた。
小さな驚きを忍ばせたアマルーラケーキは、柔らかな包容力をそっと思い出させてくれる一品です！",
,2,9,ザバイオーネケーキ,頼れる安定感,"自分のペースを大切にするあなた。
素材の個性を丁寧に重ねたザバイオーネケーキは、頼れる安定感をそっと思い出させてくれる一品です！",
,2,10,バナナブレッドケーキ,秘めた情熱,"周りに安心感を届けるあなた。
素朴さの中に奥行きがあるバナナブレッドケーキは、秘めた情熱をそっと思い出させてくれる一品です！",
,2,11,マスカルポーネロール,隠れた遊び心,"一歩ずつ形にしていくあなた。
素材の個性を丁寧に重ねたマスカルポーネロールは、隠れた遊び心をそっと思い出させてくれる一品です！",
,2,12,タマリンドケーキ,芯の強さ,"静かな強さを持つあなた。
香りと食感の変化が楽しいタマリンドケーキは、芯の強さをそっと思い出させてくれる一品です！",
,2,13,カーディナルシュニッテン,しなやかな変化,"まっすぐな思いを抱くあなた。
素材の個性を丁寧に重ねたカーディナルシュニッテンは、しなやかな変化をそっと思い出させてくれる一品です！",
,2,14,ハイビスカスムース,深い共感力,"小さな変化にも気づけるあなた。
小さな驚きを忍ばせたハイビスカスムースは、深い共感力をそっと思い出させてくれる一品です！",
,2,15,イシュラー・トルテ,知的な探求心,"自分のペースを大切にするあなた。
素材の個性を丁寧に重ねたイシュラー・トルテは、知的な探求心をそっと思い出させてくれる一品です！",
,2,16,コーヒーセモリナケーキ,誠実なまなざし,"周りに安心感を届けるあなた。
素朴さの中に奥行きがあるコーヒーセモリナケーキは、誠実なまなざしをそっと思い出させてくれる一品です！",
,2,17,ポピーシードロールケーキ,柔らかな包容力,"一歩ずつ形にしていくあなた。
素材の個性を丁寧に重ねたポピーシードロールケーキは、柔らかな包容力をそっと思い出させてくれる一品です！",
,2,18,ピーナッツバターケーキ,頼れる安定感,"静かな強さを持つあなた。
香りと食感の変化が楽しいピーナッツバターケーキは、頼れる安定感をそっと思い出させてくれる一品です！",
,2,19,プラムシュトロイゼル,秘めた情熱,"まっすぐな思いを抱くあなた。
素材の個性を丁寧に重ねたプラムシュトロイゼルは、秘めた情熱をそっと思い出させてくれる一品です！",
,2,20,水面いちじくレイヤーケーキ,隠れた遊び心,"小さな変化にも気づけるあなた。
小さな驚きを忍ばせた水面いちじくレイヤーケーキは、隠れた遊び心をそっと思い出させてくれる一品です！",
,2,21,ハーゼルヌストルテ,芯の強さ,"自分のペースを大切にするあなた。
素材の個性を丁寧に重ねたハーゼルヌストルテは、芯の強さをそっと思い出させてくれる一品です！",
,2,22,クヴァルクトルテ,しなやかな変化,"周りに安心感を届けるあなた。
素材の個性を丁寧に重ねたクヴァルクトルテは、しなやかな変化をそっと思い出させてくれる一品です！",
,2,23,デンマークドリームケーキ,深い共感力,"一歩ずつ形にしていくあなた。
素材の個性を丁寧に重ねたデンマークドリームケーキは、深い共感力をそっと思い出させてくれる一品です！",
,2,24,春雷パンプキンキャラメルサンド,知的な探求心,"静かな強さを持つあなた。
香りと食感の変化が楽しい春雷パンプキンキャラメルサンドは、知的な探求心をそっと思い出させてくれる一品です！",
,2,25,クリングルケーキ,誠実なまなざし,"まっすぐな思いを抱くあなた。
素材の個性を丁寧に重ねたクリングルケーキは、誠実なまなざしをそっと思い出させてくれる一品です！",
,2,26,コーヒーウォルナットケーキ,柔らかな包容力,"小さな変化にも気づけるあなた。
素材の個性を丁寧に重ねたコーヒーウォルナットケーキは、柔らかな包容力をそっと思い出させてくれる一品です！",
,2,27,スティッキートフィープディングケーキ,頼れる安定感,"自分のペースを大切にするあなた。
素材の個性を丁寧に重ねたスティッキートフィープディングケーキは、頼れる安定感をそっと思い出させてくれる一品です！",
,2,28,アップルシャーロット,秘めた情熱,"周りに安心感を届けるあなた。
素材の個性を丁寧に重ねたアップルシャーロットは、秘めた情熱をそっと思い出させてくれる一品です！",
,3,1,ブラックボトムパイ,温かな家庭,"新しい景色を楽しめるあなた。
素材の個性を丁寧に重ねたブラックボトムパイは、温かな家庭をそっと思い出させてくれる一品です！",
,3,2,薄明蜂蜜クリームパイ,軽やかな社交性,"好きなものを深く味わえるあなた。
素材の個性を丁寧に重ねた薄明蜂蜜クリームパイは、軽やかな社交性をそっと思い出させてくれる一品です！",
,3,3,フロリダオレンジケーキ,小さな幸せを見つける力,"明るい空気をつくれるあなた。
素材の個性を丁寧に重ねたフロリダオレンジケーキは、小さな幸せを見つける力をそっと思い出させてくれる一品です！",
,3,4,翡翠林キャラメルチーズテリーヌ,凛とした自立心,"ひらめきを大切にできるあなた。
余韻までゆっくり楽しめる翡翠林キャラメルチーズテリーヌは、凛とした自立心をそっと思い出させてくれる一品です！",
,3,5,コーンミールケーキ,太陽の祝福,"自然体で進めるあなた。
素材の個性を丁寧に重ねたコーンミールケーキは、太陽の祝福をそっと思い出させてくれる一品です！",
,3,6,霞桜コーヒー洋梨タルト,優雅な余韻,"人の気持ちを丁寧に受け取れるあなた。
ひと口ごとに表情が変わる霞桜コーヒー洋梨タルトは、優雅な余韻をそっと思い出させてくれる一品です！",
,3,7,ブラウニーケーキ,冴えた直感,"新しい景色を楽しめるあなた。
素材の個性を丁寧に重ねたブラウニーケーキは、冴えた直感をそっと思い出させてくれる一品です！",
,3,8,水面チョコレートクグロフ,夢を形にする力,"好きなものを深く味わえるあなた。
素材の個性を丁寧に重ねた水面チョコレートクグロフは、夢を形にする力をそっと思い出させてくれる一品です！",
,3,9,ブルーベリーバックル,春の訪れ,"明るい空気をつくれるあなた。
素材の個性を丁寧に重ねたブルーベリーバックルは、春の訪れをそっと思い出させてくれる一品です！",
,3,10,チェリーコブラーケーキ,温かな家庭,"ひらめきを大切にできるあなた。
素材の個性を丁寧に重ねたチェリーコブラーケーキは、温かな家庭をそっと思い出させてくれる一品です！",
,3,11,ピーチコブラーケーキ,軽やかな社交性,"自然体で進めるあなた。
素材の個性を丁寧に重ねたピーチコブラーケーキは、軽やかな社交性をそっと思い出させてくれる一品です！",
,3,12,苺ミントムース,小さな幸せを見つける力,"人の気持ちを丁寧に受け取れるあなた。
素材の個性を丁寧に重ねた苺ミントムースは、小さな幸せを見つける力をそっと思い出させてくれる一品です！",
,3,13,チョコフラン,凛とした自立心,"新しい景色を楽しめるあなた。
素材の個性を丁寧に重ねたチョコフランは、凛とした自立心をそっと思い出させてくれる一品です！",
,3,14,ストロベリーショートケーキ,太陽の祝福,"好きなものを深く味わえるあなた。
素材の個性を丁寧に重ねたストロベリーショートケーキは、太陽の祝福をそっと思い出させてくれる一品です！",
,3,15,カヘータチーズケーキ,優雅な余韻,"明るい空気をつくれるあなた。
素材の個性を丁寧に重ねたカヘータチーズケーキは、優雅な余韻をそっと思い出させてくれる一品です！",
,3,16,フレジエ,冴えた直感,"ひらめきを大切にできるあなた。
余韻までゆっくり楽しめるフレジエは、冴えた直感をそっと思い出させてくれる一品です！",
,3,17,カボチャトレスレチェス,夢を形にする力,"自然体で進めるあなた。
素材の個性を丁寧に重ねたカボチャトレスレチェスは、夢を形にする力をそっと思い出させてくれる一品です！",
,3,18,フォレノワール,春の訪れ,"人の気持ちを丁寧に受け取れるあなた。
ひと口ごとに表情が変わるフォレノワールは、春の訪れをそっと思い出させてくれる一品です！",
,3,19,パッションフルーツムースケーキ,温かな家庭,"新しい景色を楽しめるあなた。
素材の個性を丁寧に重ねたパッションフルーツムースケーキは、温かな家庭をそっと思い出させてくれる一品です！",
,3,20,オペラ,軽やかな社交性,"好きなものを深く味わえるあなた。
素材の個性を丁寧に重ねたオペラは、軽やかな社交性をそっと思い出させてくれる一品です！",
,3,21,小豆シフォン,小さな幸せを見つける力,"明るい空気をつくれるあなた。
素材の個性を丁寧に重ねた小豆シフォンは、小さな幸せを見つける力をそっと思い出させてくれる一品です！",
,3,22,サントノーレ,凛とした自立心,"ひらめきを大切にできるあなた。
余韻までゆっくり楽しめるサントノーレは、凛とした自立心をそっと思い出させてくれる一品です！",
,3,23,黒豆パウンドケーキ,太陽の祝福,"自然体で進めるあなた。
素材の個性を丁寧に重ねた黒豆パウンドケーキは、太陽の祝福をそっと思い出させてくれる一品です！",
,3,24,パリブレスト,優雅な余韻,"人の気持ちを丁寧に受け取れるあなた。
ひと口ごとに表情が変わるパリブレストは、優雅な余韻をそっと思い出させてくれる一品です！",
,3,25,きなこロール,冴えた直感,"新しい景色を楽しめるあなた。
素材の個性を丁寧に重ねたきなこロールは、冴えた直感をそっと思い出させてくれる一品です！",
,3,26,ミルフィーユ,夢を形にする力,"好きなものを深く味わえるあなた。
素材の個性を丁寧に重ねたミルフィーユは、夢を形にする力をそっと思い出させてくれる一品です！",
,3,27,柚子タルト,春の訪れ,"明るい空気をつくれるあなた。
素材の個性を丁寧に重ねた柚子タルトは、春の訪れをそっと思い出させてくれる一品です！",
,3,28,ルリジューズ,温かな家庭,"ひらめきを大切にできるあなた。
余韻までゆっくり楽しめるルリジューズは、温かな家庭をそっと思い出させてくれる一品です！",
,3,29,玄米茶チーズケーキ,軽やかな社交性,"自然体で進めるあなた。
素材の個性を丁寧に重ねた玄米茶チーズケーキは、軽やかな社交性をそっと思い出させてくれる一品です！",
,3,30,シャルロット・オ・ポワール,小さな幸せを見つける力,"人の気持ちを丁寧に受け取れるあなた。
ひと口ごとに表情が変わるシャルロット・オ・ポワールは、小さな幸せを見つける力をそっと思い出させてくれる一品です！",
,3,31,紫芋モンブラン,凛とした自立心,"新しい景色を楽しめるあなた。
素材の個性を丁寧に重ねた紫芋モンブランは、凛とした自立心をそっと思い出させてくれる一品です！",
,4,1,シャルロット・オ・フレーズ,冴えた直感,"自然体で進めるあなた。
ひと口ごとに表情が変わるシャルロット・オ・フレーズは、冴えた直感をそっと思い出させてくれる一品です！",
,4,2,ほうじ茶テリーヌ,夢を形にする力,"人の気持ちを丁寧に受け取れるあなた。
素材の個性を丁寧に重ねたほうじ茶テリーヌは、夢を形にする力をそっと思い出させてくれる一品です！",
,4,3,ブッシュ・ド・ノエル,春の訪れ,"新しい景色を楽しめるあなた。
素材の個性を丁寧に重ねたブッシュ・ド・ノエルは、春の訪れをそっと思い出させてくれる一品です！",
,4,4,和栗タルト,温かな家庭,"好きなものを深く味わえるあなた。
素材の個性を丁寧に重ねた和栗タルトは、温かな家庭をそっと思い出させてくれる一品です！",
,4,5,ガレット・デ・ロワ,軽やかな社交性,"明るい空気をつくれるあなた。
余韻までゆっくり楽しめるガレット・デ・ロワは、軽やかな社交性をそっと思い出させてくれる一品です！",
,4,6,パンダンロール,小さな幸せを見つける力,"ひらめきを大切にできるあなた。
素材の個性を丁寧に重ねたパンダンロールは、小さな幸せを見つける力をそっと思い出させてくれる一品です！",
,4,7,クグロフ,凛とした自立心,"自然体で進めるあなた。
ひと口ごとに表情が変わるクグロフは、凛とした自立心をそっと思い出させてくれる一品です！",
,4,8,カヤチーズケーキ,太陽の祝福,"人の気持ちを丁寧に受け取れるあなた。
素材の個性を丁寧に重ねたカヤチーズケーキは、太陽の祝福をそっと思い出させてくれる一品です！",
,4,9,ファーブルトン,優雅な余韻,"新しい景色を楽しめるあなた。
素材の個性を丁寧に重ねたファーブルトンは、優雅な余韻をそっと思い出させてくれる一品です！",
,4,10,タピオカミルクティーケーキ,冴えた直感,"好きなものを深く味わえるあなた。
素材の個性を丁寧に重ねたタピオカミルクティーケーキは、冴えた直感をそっと思い出させてくれる一品です！",
,4,11,ガトーバスク,夢を形にする力,"明るい空気をつくれるあなた。
余韻までゆっくり楽しめるガトーバスクは、夢を形にする力をそっと思い出させてくれる一品です！",
,4,12,マンゴースティッキーライスケーキ,春の訪れ,"ひらめきを大切にできるあなた。
素材の個性を丁寧に重ねたマンゴースティッキーライスケーキは、春の訪れをそっと思い出させてくれる一品です！",
,4,13,タルト・タタン,温かな家庭,"自然体で進めるあなた。
ひと口ごとに表情が変わるタルト・タタンは、温かな家庭をそっと思い出させてくれる一品です！",
,4,14,ローズウォーターセモリナケーキ,軽やかな社交性,"人の気持ちを丁寧に受け取れるあなた。
素材の個性を丁寧に重ねたローズウォーターセモリナケーキは、軽やかな社交性をそっと思い出させてくれる一品です！",
,4,15,シブースト,小さな幸せを見つける力,"新しい景色を楽しめるあなた。
素材の個性を丁寧に重ねたシブーストは、小さな幸せを見つける力をそっと思い出させてくれる一品です！",
,4,16,オレンジブロッサムバスブーサ,凛とした自立心,"好きなものを深く味わえるあなた。
素材の個性を丁寧に重ねたオレンジブロッサムバスブーサは、凛とした自立心をそっと思い出させてくれる一品です！",
,4,17,ダックワーズ,太陽の祝福,"明るい空気をつくれるあなた。
余韻までゆっくり楽しめるダックワーズは、太陽の祝福をそっと思い出させてくれる一品です！",
,4,18,カルダモンデーツケーキ,優雅な余韻,"ひらめきを大切にできるあなた。
素材の個性を丁寧に重ねたカルダモンデーツケーキは、優雅な余韻をそっと思い出させてくれる一品です！",
,4,19,クロカンブッシュ,冴えた直感,"自然体で進めるあなた。
ひと口ごとに表情が変わるクロカンブッシュは、冴えた直感をそっと思い出させてくれる一品です！",
,4,20,タヒニブラウニーケーキ,夢を形にする力,"人の気持ちを丁寧に受け取れるあなた。
素材の個性を丁寧に重ねたタヒニブラウニーケーキは、夢を形にする力をそっと思い出させてくれる一品です！",
,4,21,モンブラン,春の訪れ,"新しい景色を楽しめるあなた。
素材の個性を丁寧に重ねたモンブランは、春の訪れをそっと思い出させてくれる一品です！",
,4,22,ルイボスハニーケーキ,温かな家庭,"好きなものを深く味わえるあなた。
素材の個性を丁寧に重ねたルイボスハニーケーキは、温かな家庭をそっと思い出させてくれる一品です！",
,4,23,クラフティ,軽やかな社交性,"明るい空気をつくれるあなた。
余韻までゆっくり楽しめるクラフティは、軽やかな社交性をそっと思い出させてくれる一品です！",
,4,24,バオバブレモンケーキ,小さな幸せを見つける力,"ひらめきを大切にできるあなた。
素材の個性を丁寧に重ねたバオバブレモンケーキは、小さな幸せを見つける力をそっと思い出させてくれる一品です！",
,4,25,マルジョレーヌ,凛とした自立心,"自然体で進めるあなた。
ひと口ごとに表情が変わるマルジョレーヌは、凛とした自立心をそっと思い出させてくれる一品です！",
,4,26,ナツメヤシケーキ,太陽の祝福,"人の気持ちを丁寧に受け取れるあなた。
素材の個性を丁寧に重ねたナツメヤシケーキは、太陽の祝福をそっと思い出させてくれる一品です！",
,4,27,トロペジェンヌ,優雅な余韻,"新しい景色を楽しめるあなた。
素材の個性を丁寧に重ねたトロペジェンヌは、優雅な余韻をそっと思い出させてくれる一品です！",
,4,28,オリーブオイルケーキ,冴えた直感,"好きなものを深く味わえるあなた。
素材の個性を丁寧に重ねたオリーブオイルケーキは、冴えた直感をそっと思い出させてくれる一品です！",
,4,29,カヌレケーキ,夢を形にする力,"明るい空気をつくれるあなた。
余韻までゆっくり楽しめるカヌレケーキは、夢を形にする力をそっと思い出させてくれる一品です！",
,4,30,アーモンドオリーブケーキ,春の訪れ,"ひらめきを大切にできるあなた。
素材の個性を丁寧に重ねたアーモンドオリーブケーキは、春の訪れをそっと思い出させてくれる一品です！",
,5,1,フィナンシェケーキ,深い共感力,"一歩ずつ形にしていくあなた。
小さな驚きを忍ばせたフィナンシェケーキは、深い共感力をそっと思い出させてくれる一品です！",
,5,2,レモンポピーシードケーキ,知的な探求心,"静かな強さを持つあなた。
素材の個性を丁寧に重ねたレモンポピーシードケーキは、知的な探求心をそっと思い出させてくれる一品です！",
,5,3,マドレーヌケーキ,誠実なまなざし,"まっすぐな思いを抱くあなた。
素朴さの中に奥行きがあるマドレーヌケーキは、誠実なまなざしをそっと思い出させてくれる一品です！",
,5,4,オレンジポレンタケーキ,柔らかな包容力,"小さな変化にも気づけるあなた。
素材の個性を丁寧に重ねたオレンジポレンタケーキは、柔らかな包容力をそっと思い出させてくれる一品です！",
,5,5,ポワリエ,頼れる安定感,"自分のペースを大切にするあなた。
香りと食感の変化が楽しいポワリエは、頼れる安定感をそっと思い出させてくれる一品です！",
,5,6,チョコレートラヴァケーキ,秘めた情熱,"周りに安心感を届けるあなた。
素材の個性を丁寧に重ねたチョコレートラヴァケーキは、秘めた情熱をそっと思い出させてくれる一品です！",
,5,7,ロワイヤルショコラ,隠れた遊び心,"一歩ずつ形にしていくあなた。
小さな驚きを忍ばせたロワイヤルショコラは、隠れた遊び心をそっと思い出させてくれる一品です！",
,5,8,ホワイトチョコムースケーキ,芯の強さ,"静かな強さを持つあなた。
素材の個性を丁寧に重ねたホワイトチョコムースケーキは、芯の強さをそっと思い出させてくれる一品です！",
,5,9,ティラミス,しなやかな変化,"まっすぐな思いを抱くあなた。
素朴さの中に奥行きがあるティラミスは、しなやかな変化をそっと思い出させてくれる一品です！",
,5,10,ラズベリームースケーキ,深い共感力,"小さな変化にも気づけるあなた。
素材の個性を丁寧に重ねたラズベリームースケーキは、深い共感力をそっと思い出させてくれる一品です！",
,5,11,カッサータ,知的な探求心,"自分のペースを大切にするあなた。
香りと食感の変化が楽しいカッサータは、知的な探求心をそっと思い出させてくれる一品です！",
,5,12,ブルーベリーチーズタルト,誠実なまなざし,"周りに安心感を届けるあなた。
素材の個性を丁寧に重ねたブルーベリーチーズタルトは、誠実なまなざしをそっと思い出させてくれる一品です！",
,5,13,ズコット,柔らかな包容力,"一歩ずつ形にしていくあなた。
小さな驚きを忍ばせたズコットは、柔らかな包容力をそっと思い出させてくれる一品です！",
,5,14,ピスタチオムースケーキ,頼れる安定感,"静かな強さを持つあなた。
素材の個性を丁寧に重ねたピスタチオムースケーキは、頼れる安定感をそっと思い出させてくれる一品です！",
,5,15,パネトーネ,秘めた情熱,"まっすぐな思いを抱くあなた。
素朴さの中に奥行きがあるパネトーネは、秘めた情熱をそっと思い出させてくれる一品です！",
,5,16,ヘーゼルナッツプラリネケーキ,隠れた遊び心,"小さな変化にも気づけるあなた。
素材の個性を丁寧に重ねたヘーゼルナッツプラリネケーキは、隠れた遊び心をそっと思い出させてくれる一品です！",
,5,17,パンドーロ,芯の強さ,"自分のペースを大切にするあなた。
香りと食感の変化が楽しいパンドーロは、芯の強さをそっと思い出させてくれる一品です！",
,5,18,マロンロールケーキ,しなやかな変化,"周りに安心感を届けるあなた。
素材の個性を丁寧に重ねたマロンロールケーキは、しなやかな変化をそっと思い出させてくれる一品です！",
,5,19,トルタ・カプレーゼ,深い共感力,"一歩ずつ形にしていくあなた。
小さな驚きを忍ばせたトルタ・カプレーゼは、深い共感力をそっと思い出させてくれる一品です！",
,5,20,洋梨キャラメルタルト,知的な探求心,"静かな強さを持つあなた。
素材の個性を丁寧に重ねた洋梨キャラメルタルトは、知的な探求心をそっと思い出させてくれる一品です！",
,5,21,トルタ・ミモザ,誠実なまなざし,"まっすぐな思いを抱くあなた。
素朴さの中に奥行きがあるトルタ・ミモザは、誠実なまなざしをそっと思い出させてくれる一品です！",
,5,22,いちじくアーモンドケーキ,柔らかな包容力,"小さな変化にも気づけるあなた。
素材の個性を丁寧に重ねたいちじくアーモンドケーキは、柔らかな包容力をそっと思い出させてくれる一品です！",
,5,23,トルタ・デッラ・ノンナ,頼れる安定感,"自分のペースを大切にするあなた。
香りと食感の変化が楽しいトルタ・デッラ・ノンナは、頼れる安定感をそっと思い出させてくれる一品です！",
,5,24,アプリコットパウンドケーキ,秘めた情熱,"周りに安心感を届けるあなた。
素材の個性を丁寧に重ねたアプリコットパウンドケーキは、秘めた情熱をそっと思い出させてくれる一品です！",
,5,25,トルタ・パラディーゾ,隠れた遊び心,"一歩ずつ形にしていくあなた。
小さな驚きを忍ばせたトルタ・パラディーゾは、隠れた遊び心をそっと思い出させてくれる一品です！",
,5,26,プラムアップサイドダウンケーキ,芯の強さ,"静かな強さを持つあなた。
素材の個性を丁寧に重ねたプラムアップサイドダウンケーキは、芯の強さをそっと思い出させてくれる一品です！",
,5,27,スブリソローナ,しなやかな変化,"まっすぐな思いを抱くあなた。
素朴さの中に奥行きがあるスブリソローナは、しなやかな変化をそっと思い出させてくれる一品です！",
,5,28,チェリークラフティケーキ,深い共感力,"小さな変化にも気づけるあなた。
素材の個性を丁寧に重ねたチェリークラフティケーキは、深い共感力をそっと思い出させてくれる一品です！",
,5,29,クロスタータ,知的な探求心,"自分のペースを大切にするあなた。
香りと食感の変化が楽しいクロスタータは、知的な探求心をそっと思い出させてくれる一品です！",
,5,30,ココアシフォン,誠実なまなざし,"周りに安心感を届けるあなた。
素材の個性を丁寧に重ねたココアシフォンは、誠実なまなざしをそっと思い出させてくれる一品です！",
,5,31,パスティエラ,柔らかな包容力,"一歩ずつ形にしていくあなた。
小さな驚きを忍ばせたパスティエラは、柔らかな包容力をそっと思い出させてくれる一品です！",
,6,1,抹茶ティラミス,隠れた遊び心,"自分のペースを大切にするあなた。
素材の個性を丁寧に重ねた抹茶ティラミスは、隠れた遊び心をそっと思い出させてくれる一品です！",
